12345678900;Felipe Bechelli Prado;123456;4330,00;0;0,00;1,00       
12345678911;Gustavo Cheida;12345;1000;0;0;0    
12345678922;Vitor Ferrareto;12315;4130,00;0;0,00;1,00       
12345678933;Marcelo Lima;14322;1200,00;0;0;0
12345678944;Deolane Bezerra;124512;4330,00;0;0,00;1,00       
12345678955;Luan Santana;123535;1200,00;0;0;0     
12345678966;Bruno Rossi;123513;4130,00;0;0,00;1,00       
12345678977;Rafael Japa;125479;1200,00;0;0;0     
12345678988;Eduardo Pinto;234688;4130,00;0;0,00;1,00       
12345678999;Vanderlei Costa;23467;2305;0;8,00;0     
